Season,Half,Conference,Division,Team_ID,Team_Name,Playoffs,GP,W,L,OL,T,PTS,PTS_Pct,GF,GA,SRS,SOS,RPt_Pct,ROW,RW,RgRec,RgPt_Pct
1918,First,NA,NA,MTL,Montreal Canadiens,FALSE,14,10,4,NA,0,20,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,TRA,Toronto Arenas,FALSE,14,8,6,NA,0,16,0.571,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,OTS,Ottawa Senators,FALSE,14,5,9,NA,0,10,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,First,NA,NA,MTW,Montreal Wanderers,FALSE,6,1,5,NA,0,2,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,TRA,Toronto Arenas,FALSE,8,5,3,NA,0,10,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,OTS,Ottawa Senators,FALSE,8,4,4,NA,0,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,Second,NA,NA,MTL,Montreal Canadiens,FALSE,8,3,5,NA,0,6,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,MTL,Montreal Canadiens,FALSE,10,7,3,NA,0,14,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,OTS,Ottawa Senators,FALSE,10,5,5,NA,0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,First,NA,NA,TRA,Toronto Arenas,FALSE,10,3,7,NA,0,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,OTS,Ottawa Senators,FALSE,8,7,1,NA,0,14,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,MTL,Montreal Canadiens,FALSE,8,3,5,NA,0,6,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,Second,NA,NA,TRA,Toronto Arenas,FALSE,8,2,6,NA,0,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,OTS,Ottawa Senators,FALSE,12,9,3,NA,0,18,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,MTL,Montreal Canadiens,FALSE,12,8,4,NA,0,16,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,TRS,Toronto St. Patricks,FALSE,12,5,7,NA,0,10,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,First,NA,NA,QBC,Quebec Athletic Club/Bulldogs,FALSE,12,2,10,NA,0,4,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,OTS,Ottawa Senators,FALSE,12,10,2,NA,0,20,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,TRS,Toronto St. Patricks,FALSE,12,7,5,NA,0,14,0.583,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,MTL,Montreal Canadiens,FALSE,12,5,7,NA,0,10,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,Second,NA,NA,QBC,Quebec Athletic Club/Bulldogs,FALSE,12,2,10,NA,0,4,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,OTS,Ottawa Senators,FALSE,10,8,2,NA,0,16,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,TRS,Toronto St. Patricks,FALSE,10,5,5,NA,0,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,MTL,Montreal Canadiens,FALSE,10,4,6,NA,0,8,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,First,NA,NA,HAM,Hamilton Tigers,FALSE,10,3,7,NA,0,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Second,NA,NA,TRS,Toronto St. Patricks,FALSE,14,10,4,NA,0,20,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Second,NA,NA,MTL,Montreal Canadiens,FALSE,14,9,5,NA,0,18,0.643,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Second,NA,NA,OTS,Ottawa Senators,FALSE,14,6,8,NA,0,12,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,Second,NA,NA,HAM,Hamilton Tigers,FALSE,14,3,11,NA,0,6,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,OTS,Ottawa Senators,TRUE,24,14,8,NA,2,30,0.625,106,84,0.69,-0.23,NA,NA,NA,NA,NA
1922,NA,NA,NA,TRS,Toronto St. Patricks,TRUE,24,13,10,NA,1,27,0.563,98,97,0.03,-0.01,NA,NA,NA,NA,NA
1922,NA,NA,NA,MTL,Montreal Canadiens,FALSE,24,12,11,NA,1,25,0.521,88,94,-0.19,0.06,NA,NA,NA,NA,NA
1922,NA,NA,NA,HAM,Hamilton Tigers,FALSE,24,7,17,NA,0,14,0.292,88,105,-0.53,0.18,NA,NA,NA,NA,NA
1923,NA,NA,NA,OTS,Ottawa Senators,TRUE,24,14,9,NA,1,29,0.604,77,54,0.72,-0.24,NA,NA,NA,NA,NA
1923,NA,NA,NA,MTL,Montreal Canadiens,TRUE,24,13,9,NA,2,28,0.583,73,61,0.38,-0.13,NA,NA,NA,NA,NA
1923,NA,NA,NA,TRS,Toronto St. Patricks,FALSE,24,13,10,NA,1,27,0.563,82,88,-0.19,0.06,NA,NA,NA,NA,NA
1923,NA,NA,NA,HAM,Hamilton Tigers,FALSE,24,6,18,NA,0,12,0.25,81,110,-0.91,0.3,NA,NA,NA,NA,NA
1924,NA,NA,NA,OTS,Ottawa Senators,TRUE,24,16,8,NA,0,32,0.667,74,54,0.63,-0.21,NA,NA,NA,NA,NA
1924,NA,NA,NA,MTL,Montreal Canadiens,TRUE,24,13,11,NA,0,26,0.542,59,48,0.34,-0.12,NA,NA,NA,NA,NA
1924,NA,NA,NA,TRS,Toronto St. Patricks,FALSE,24,10,14,NA,0,20,0.417,59,85,-0.81,0.27,NA,NA,NA,NA,NA
1924,NA,NA,NA,HAM,Hamilton Tigers,FALSE,24,9,15,NA,0,18,0.375,63,68,-0.16,0.05,NA,NA,NA,NA,NA
1925,NA,NA,NA,TRS,Toronto St. Patricks,TRUE,30,19,11,NA,0,38,0.633,90,84,0.17,-0.03,NA,NA,NA,NA,NA
1925,NA,NA,NA,MTL,Montreal Canadiens,TRUE,30,17,11,NA,2,36,0.6,93,56,1.03,-0.21,NA,NA,NA,NA,NA
1925,NA,NA,NA,HAM,Hamilton Tigers,FALSE,30,19,10,NA,1,39,0.65,90,60,0.83,-0.17,NA,NA,NA,NA,NA
1925,NA,NA,NA,OTS,Ottawa Senators,FALSE,30,17,12,NA,1,35,0.583,83,66,0.47,-0.09,NA,NA,NA,NA,NA
1925,NA,NA,NA,MTM,Montreal Maroons,FALSE,30,9,19,NA,2,20,0.333,45,65,-0.56,0.11,NA,NA,NA,NA,NA
1925,NA,NA,NA,BOS,Boston Bruins,FALSE,30,6,24,NA,0,12,0.2,49,119,-1.94,0.39,NA,NA,NA,NA,NA
1926,NA,NA,NA,OTS,Ottawa Senators,TRUE,36,24,8,NA,4,52,0.722,77,42,0.83,-0.14,NA,NA,NA,NA,NA
1926,NA,NA,NA,MTM,Montreal Maroons,TRUE,36,20,11,NA,5,45,0.625,91,73,0.43,-0.07,NA,NA,NA,NA,NA
1926,NA,NA,NA,PTP,Pittsburgh Pirates,TRUE,36,19,16,NA,1,39,0.542,82,70,0.29,-0.05,NA,NA,NA,NA,NA
1926,NA,NA,NA,BOS,Boston Bruins,FALSE,36,17,15,NA,4,38,0.528,92,85,0.17,-0.03,NA,NA,NA,NA,NA
1926,NA,NA,NA,NYA,New York Americans,FALSE,36,12,20,NA,4,28,0.389,68,89,-0.5,0.08,NA,NA,NA,NA,NA
1926,NA,NA,NA,TRS,Toronto St. Patricks,FALSE,36,12,21,NA,3,27,0.375,92,114,-0.53,0.09,NA,NA,NA,NA,NA
1926,NA,NA,NA,MTL,Montreal Canadiens,FALSE,36,11,24,NA,1,23,0.319,79,108,-0.69,0.11,NA,NA,NA,NA,NA
1927,NA,NA,American,NYR,New York Rangers,TRUE,44,25,13,NA,6,56,0.636,95,72,0.43,-0.09,NA,NA,NA,NA,NA
1927,NA,NA,American,BOS,Boston Bruins,TRUE,44,21,20,NA,3,45,0.511,97,89,0.13,-0.05,NA,NA,NA,NA,NA
1927,NA,NA,American,CBH,Chicago Black Hawks,TRUE,44,19,22,NA,3,41,0.466,115,116,-0.05,-0.03,NA,NA,NA,NA,NA
1927,NA,NA,American,PTP,Pittsburgh Pirates,FALSE,44,15,26,NA,3,33,0.375,79,108,-0.61,0.05,NA,NA,NA,NA,NA
1927,NA,NA,American,DTC,Detroit Cougars,FALSE,44,12,28,NA,4,28,0.318,76,105,-0.61,0.05,NA,NA,NA,NA,NA
1927,NA,NA,Canadian,OTS,Ottawa Senators,TRUE,44,30,10,NA,4,64,0.727,86,69,0.37,-0.02,NA,NA,NA,NA,NA
1927,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,44,28,14,NA,2,58,0.659,99,67,0.67,-0.06,NA,NA,NA,NA,NA
1927,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,44,20,20,NA,4,44,0.5,71,68,0.09,0.02,NA,NA,NA,NA,NA
1927,NA,NA,Canadian,NYA,New York Americans,FALSE,44,17,25,NA,2,36,0.409,82,91,-0.15,0.05,NA,NA,NA,NA,NA
1927,NA,NA,Canadian,TOR,Toronto Maple Leafs,FALSE,44,15,24,NA,5,35,0.398,79,94,-0.27,0.07,NA,NA,NA,NA,NA
1928,NA,NA,American,BOS,Boston Bruins,TRUE,44,20,13,NA,11,51,0.58,77,70,0.1,-0.06,NA,NA,NA,NA,NA
1928,NA,NA,American,NYR,New York Rangers,TRUE,44,19,16,NA,9,47,0.534,94,79,0.26,-0.09,NA,NA,NA,NA,NA
1928,NA,NA,American,PTP,Pittsburgh Pirates,TRUE,44,19,17,NA,8,46,0.523,67,76,-0.22,-0.02,NA,NA,NA,NA,NA
1928,NA,NA,American,DTC,Detroit Cougars,FALSE,44,19,19,NA,6,44,0.5,88,79,0.14,-0.07,NA,NA,NA,NA,NA
1928,NA,NA,American,CBH,Chicago Black Hawks,FALSE,44,7,34,NA,3,17,0.193,68,134,-1.36,0.14,NA,NA,NA,NA,NA
1928,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,44,26,11,NA,7,59,0.67,116,48,1.4,-0.14,NA,NA,NA,NA,NA
1928,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,44,24,14,NA,6,54,0.614,96,77,0.42,-0.01,NA,NA,NA,NA,NA
1928,NA,NA,Canadian,OTS,Ottawa Senators,TRUE,44,20,14,NA,10,50,0.568,78,57,0.46,-0.01,NA,NA,NA,NA,NA
1928,NA,NA,Canadian,TOR,Toronto Maple Leafs,FALSE,44,18,18,NA,8,44,0.5,89,88,0.06,0.04,NA,NA,NA,NA,NA
1928,NA,NA,Canadian,NYA,New York Americans,FALSE,44,11,27,NA,6,28,0.318,63,128,-1.26,0.22,NA,NA,NA,NA,NA
1929,NA,NA,American,BOS,Boston Bruins,TRUE,44,26,13,NA,5,57,0.648,89,52,0.71,-0.13,NA,NA,NA,NA,NA
1929,NA,NA,American,NYR,New York Rangers,TRUE,44,21,13,NA,10,52,0.591,72,65,0.11,-0.05,NA,NA,NA,NA,NA
1929,NA,NA,American,DTC,Detroit Cougars,TRUE,44,19,16,NA,9,47,0.534,72,63,0.15,-0.06,NA,NA,NA,NA,NA
1929,NA,NA,American,PTP,Pittsburgh Pirates,FALSE,44,9,27,NA,8,26,0.295,46,80,-0.71,0.06,NA,NA,NA,NA,NA
1929,NA,NA,American,CBH,Chicago Black Hawks,FALSE,44,7,29,NA,8,22,0.25,33,85,-1.07,0.11,NA,NA,NA,NA,NA
1929,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,44,22,7,NA,15,59,0.67,71,43,0.59,-0.04,NA,NA,NA,NA,NA
1929,NA,NA,Canadian,NYA,New York Americans,TRUE,44,19,13,NA,12,50,0.568,53,53,0.03,0.03,NA,NA,NA,NA,NA
1929,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,44,21,18,NA,5,47,0.534,85,69,0.35,-0.01,NA,NA,NA,NA,NA
1929,NA,NA,Canadian,OTS,Ottawa Senators,FALSE,44,14,17,NA,13,41,0.466,54,67,-0.23,0.07,NA,NA,NA,NA,NA
1929,NA,NA,Canadian,MTM,Montreal Maroons,FALSE,44,15,20,NA,9,39,0.443,67,65,0.07,0.03,NA,NA,NA,NA,NA
1930,NA,NA,American,BOS,Boston Bruins,TRUE,44,38,5,NA,1,77,0.875,179,98,1.6,-0.24,NA,NA,NA,NA,NA
1930,NA,NA,American,CBH,Chicago Black Hawks,TRUE,44,21,18,NA,5,47,0.534,117,111,0.1,-0.04,NA,NA,NA,NA,NA
1930,NA,NA,American,NYR,New York Rangers,TRUE,44,17,17,NA,10,44,0.5,136,143,-0.16,0,NA,NA,NA,NA,NA
1930,NA,NA,American,DTC,Detroit Cougars,FALSE,44,14,24,NA,6,34,0.386,117,133,-0.34,0.03,NA,NA,NA,NA,NA
1930,NA,NA,American,PTP,Pittsburgh Pirates,FALSE,44,5,36,NA,3,13,0.148,102,185,-1.68,0.21,NA,NA,NA,NA,NA
1930,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,44,23,16,NA,5,51,0.58,141,114,0.56,-0.06,NA,NA,NA,NA,NA
1930,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,44,21,14,NA,9,51,0.58,142,114,0.58,-0.06,NA,NA,NA,NA,NA
1930,NA,NA,Canadian,OTS,Ottawa Senators,TRUE,44,21,15,NA,8,50,0.568,138,118,0.42,-0.04,NA,NA,NA,NA,NA
1930,NA,NA,Canadian,TOR,Toronto Maple Leafs,FALSE,44,17,21,NA,6,40,0.455,116,124,-0.14,0.04,NA,NA,NA,NA,NA
1930,NA,NA,Canadian,NYA,New York Americans,FALSE,44,14,25,NA,5,33,0.375,113,161,-0.94,0.15,NA,NA,NA,NA,NA
1931,NA,NA,American,BOS,Boston Bruins,TRUE,44,28,10,NA,6,62,0.705,143,90,1.05,-0.15,NA,NA,NA,NA,NA
1931,NA,NA,American,CBH,Chicago Black Hawks,TRUE,44,24,17,NA,3,51,0.58,108,78,0.59,-0.09,NA,NA,NA,NA,NA
1931,NA,NA,American,NYR,New York Rangers,TRUE,44,19,16,NA,9,47,0.534,106,87,0.37,-0.06,NA,NA,NA,NA,NA
1931,NA,NA,American,DTF,Detroit Falcons,FALSE,44,16,21,NA,7,39,0.443,102,105,-0.07,0,NA,NA,NA,NA,NA
1931,NA,NA,American,PHQ,Philadelphia Quakers,FALSE,44,4,36,NA,4,12,0.136,76,184,-2.17,0.29,NA,NA,NA,NA,NA
1931,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,44,26,10,NA,8,60,0.682,129,89,0.81,-0.1,NA,NA,NA,NA,NA
1931,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,44,22,13,NA,9,53,0.602,118,99,0.39,-0.04,NA,NA,NA,NA,NA
1931,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,44,20,18,NA,6,46,0.523,105,106,-0.01,0.01,NA,NA,NA,NA,NA
1931,NA,NA,Canadian,NYA,New York Americans,FALSE,44,18,16,NA,10,46,0.523,76,74,0.05,0,NA,NA,NA,NA,NA
1931,NA,NA,Canadian,OTS,Ottawa Senators,FALSE,44,10,30,NA,4,24,0.273,91,142,-1.01,0.15,NA,NA,NA,NA,NA
1932,NA,NA,American,NYR,New York Rangers,TRUE,48,23,17,NA,8,54,0.563,134,112,0.39,-0.07,NA,NA,NA,NA,NA
1932,NA,NA,American,CBH,Chicago Black Hawks,TRUE,48,18,19,NA,11,47,0.49,86,101,-0.27,0.04,NA,NA,NA,NA,NA
1932,NA,NA,American,DTF,Detroit Falcons,TRUE,48,18,20,NA,10,46,0.479,95,108,-0.23,0.04,NA,NA,NA,NA,NA
1932,NA,NA,American,BOS,Boston Bruins,FALSE,48,15,21,NA,12,42,0.438,122,117,0.09,-0.02,NA,NA,NA,NA,NA
1932,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,25,16,NA,7,57,0.594,128,111,0.3,-0.05,NA,NA,NA,NA,NA
1932,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,23,18,NA,7,53,0.552,155,127,0.5,-0.08,NA,NA,NA,NA,NA
1932,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,19,22,NA,7,45,0.469,142,139,0.05,-0.01,NA,NA,NA,NA,NA
1932,NA,NA,Canadian,NYA,New York Americans,FALSE,48,16,24,NA,8,40,0.417,95,142,-0.84,0.14,NA,NA,NA,NA,NA
1933,NA,NA,American,DET,Detroit Red Wings,TRUE,48,25,15,NA,8,58,0.604,111,93,0.33,-0.04,NA,NA,NA,NA,NA
1933,NA,NA,American,BOS,Boston Bruins,TRUE,48,25,15,NA,8,58,0.604,124,88,0.67,-0.08,NA,NA,NA,NA,NA
1933,NA,NA,American,NYR,New York Rangers,TRUE,48,23,17,NA,8,54,0.563,135,107,0.52,-0.07,NA,NA,NA,NA,NA
1933,NA,NA,American,CBH,Chicago Black Hawks,FALSE,48,16,20,NA,12,44,0.458,88,101,-0.24,0.03,NA,NA,NA,NA,NA
1933,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,24,18,NA,6,54,0.563,119,111,0.15,-0.02,NA,NA,NA,NA,NA
1933,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,22,20,NA,6,50,0.521,135,119,0.3,-0.04,NA,NA,NA,NA,NA
1933,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,18,25,NA,5,41,0.427,92,115,-0.43,0.05,NA,NA,NA,NA,NA
1933,NA,NA,Canadian,NYA,New York Americans,FALSE,48,15,22,NA,11,41,0.427,91,118,-0.5,0.06,NA,NA,NA,NA,NA
1933,NA,NA,Canadian,OTS,Ottawa Senators,FALSE,48,11,27,NA,10,32,0.333,88,131,-0.8,0.1,NA,NA,NA,NA,NA
1934,NA,NA,American,DET,Detroit Red Wings,TRUE,48,24,14,NA,10,58,0.604,113,98,0.28,-0.04,NA,NA,NA,NA,NA
1934,NA,NA,American,CBH,Chicago Black Hawks,TRUE,48,20,17,NA,11,51,0.531,88,83,0.09,-0.01,NA,NA,NA,NA,NA
1934,NA,NA,American,NYR,New York Rangers,TRUE,48,21,19,NA,8,50,0.521,120,113,0.13,-0.02,NA,NA,NA,NA,NA
1934,NA,NA,American,BOS,Boston Bruins,FALSE,48,18,25,NA,5,41,0.427,111,130,-0.35,0.04,NA,NA,NA,NA,NA
1934,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,26,13,NA,9,61,0.635,174,119,1.02,-0.13,NA,NA,NA,NA,NA
1934,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,22,20,NA,6,50,0.521,99,101,-0.04,0.01,NA,NA,NA,NA,NA
1934,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,19,18,NA,11,49,0.51,117,122,-0.09,0.01,NA,NA,NA,NA,NA
1934,NA,NA,Canadian,NYA,New York Americans,FALSE,48,15,23,NA,10,40,0.417,104,132,-0.52,0.07,NA,NA,NA,NA,NA
1934,NA,NA,Canadian,OTS,Ottawa Senators,FALSE,48,13,29,NA,6,32,0.333,115,143,-0.52,0.07,NA,NA,NA,NA,NA
1935,NA,NA,American,BOS,Boston Bruins,TRUE,48,26,16,NA,6,58,0.604,129,112,0.31,-0.04,NA,NA,NA,NA,NA
1935,NA,NA,American,CBH,Chicago Black Hawks,TRUE,48,26,17,NA,5,57,0.594,118,88,0.56,-0.07,NA,NA,NA,NA,NA
1935,NA,NA,American,NYR,New York Rangers,TRUE,48,22,20,NA,6,50,0.521,137,139,-0.04,0,NA,NA,NA,NA,NA
1935,NA,NA,American,DET,Detroit Red Wings,FALSE,48,19,22,NA,7,45,0.469,127,114,0.24,-0.03,NA,NA,NA,NA,NA
1935,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,30,14,NA,4,64,0.667,157,111,0.85,-0.11,NA,NA,NA,NA,NA
1935,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,24,19,NA,5,53,0.552,123,92,0.57,-0.07,NA,NA,NA,NA,NA
1935,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,19,23,NA,6,44,0.458,110,145,-0.65,0.08,NA,NA,NA,NA,NA
1935,NA,NA,Canadian,NYA,New York Americans,FALSE,48,12,27,NA,9,33,0.344,100,142,-0.78,0.1,NA,NA,NA,NA,NA
1935,NA,NA,Canadian,STE,St. Louis Eagles,FALSE,48,11,31,NA,6,28,0.292,86,144,-1.08,0.13,NA,NA,NA,NA,NA
1936,NA,NA,American,DET,Detroit Red Wings,TRUE,48,24,16,NA,8,56,0.583,124,103,0.39,-0.04,NA,NA,NA,NA,NA
1936,NA,NA,American,BOS,Boston Bruins,TRUE,48,22,20,NA,6,50,0.521,92,83,0.18,-0.01,NA,NA,NA,NA,NA
1936,NA,NA,American,CBH,Chicago Black Hawks,TRUE,48,21,19,NA,8,50,0.521,93,92,0.04,0.02,NA,NA,NA,NA,NA
1936,NA,NA,American,NYR,New York Rangers,FALSE,48,19,17,NA,12,50,0.521,91,96,-0.07,0.03,NA,NA,NA,NA,NA
1936,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,22,16,NA,10,54,0.563,114,106,0.12,-0.04,NA,NA,NA,NA,NA
1936,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,23,19,NA,6,52,0.542,126,106,0.34,-0.08,NA,NA,NA,NA,NA
1936,NA,NA,Canadian,NYA,New York Americans,TRUE,48,16,25,NA,7,39,0.406,109,122,-0.25,0.02,NA,NA,NA,NA,NA
1936,NA,NA,Canadian,MTL,Montreal Canadiens,FALSE,48,11,26,NA,11,33,0.344,82,123,-0.75,0.1,NA,NA,NA,NA,NA
1937,NA,NA,American,DET,Detroit Red Wings,TRUE,48,25,14,NA,9,59,0.615,128,102,0.48,-0.07,NA,NA,NA,NA,NA
1937,NA,NA,American,BOS,Boston Bruins,TRUE,48,23,18,NA,7,53,0.552,120,110,0.19,-0.02,NA,NA,NA,NA,NA
1937,NA,NA,American,NYR,New York Rangers,TRUE,48,19,20,NA,9,47,0.49,117,106,0.21,-0.02,NA,NA,NA,NA,NA
1937,NA,NA,American,CBH,Chicago Black Hawks,FALSE,48,14,27,NA,7,35,0.365,99,131,-0.56,0.11,NA,NA,NA,NA,NA
1937,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,24,18,NA,6,54,0.563,115,111,0.06,-0.02,NA,NA,NA,NA,NA
1937,NA,NA,Canadian,MTM,Montreal Maroons,TRUE,48,22,17,NA,9,53,0.552,126,110,0.27,-0.06,NA,NA,NA,NA,NA
1937,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,22,21,NA,5,49,0.51,119,115,0.06,-0.02,NA,NA,NA,NA,NA
1937,NA,NA,Canadian,NYA,New York Americans,FALSE,48,15,29,NA,4,34,0.354,122,161,-0.71,0.1,NA,NA,NA,NA,NA
1938,NA,NA,American,BOS,Boston Bruins,TRUE,48,30,11,NA,7,67,0.698,142,89,0.97,-0.14,NA,NA,NA,NA,NA
1938,NA,NA,American,NYR,New York Rangers,TRUE,48,27,15,NA,6,60,0.625,149,96,0.97,-0.14,NA,NA,NA,NA,NA
1938,NA,NA,American,CBH,Chicago Black Hawks,TRUE,48,14,25,NA,9,37,0.385,97,139,-0.73,0.15,NA,NA,NA,NA,NA
1938,NA,NA,American,DET,Detroit Red Wings,FALSE,48,12,25,NA,11,35,0.365,99,133,-0.58,0.12,NA,NA,NA,NA,NA
1938,NA,NA,Canadian,TOR,Toronto Maple Leafs,TRUE,48,24,15,NA,9,57,0.594,151,127,0.41,-0.09,NA,NA,NA,NA,NA
1938,NA,NA,Canadian,NYA,New York Americans,TRUE,48,19,18,NA,11,49,0.51,110,111,-0.04,-0.02,NA,NA,NA,NA,NA
1938,NA,NA,Canadian,MTL,Montreal Canadiens,TRUE,48,18,17,NA,13,49,0.51,123,128,-0.11,-0.01,NA,NA,NA,NA,NA
1938,NA,NA,Canadian,MTM,Montreal Maroons,FALSE,48,12,30,NA,6,30,0.313,101,149,-0.88,0.12,NA,NA,NA,NA,NA
1939,NA,NA,NA,BOS,Boston Bruins,TRUE,48,36,10,NA,2,74,0.771,156,76,1.43,-0.24,NA,NA,NA,NA,NA
1939,NA,NA,NA,NYR,New York Rangers,TRUE,48,26,16,NA,6,58,0.604,149,105,0.79,-0.13,NA,NA,NA,NA,NA
1939,NA,NA,NA,TOR,Toronto Maple Leafs,TRUE,48,19,20,NA,9,47,0.49,114,107,0.13,-0.02,NA,NA,NA,NA,NA
1939,NA,NA,NA,NYA,New York Americans,TRUE,48,17,21,NA,10,44,0.458,119,157,-0.68,0.11,NA,NA,NA,NA,NA
1939,NA,NA,NA,DET,Detroit Red Wings,TRUE,48,18,24,NA,6,42,0.438,107,128,-0.38,0.06,NA,NA,NA,NA,NA
1939,NA,NA,NA,MTL,Montreal Canadiens,TRUE,48,15,24,NA,9,39,0.406,115,146,-0.55,0.09,NA,NA,NA,NA,NA
1939,NA,NA,NA,CBH,Chicago Black Hawks,FALSE,48,12,28,NA,8,32,0.333,91,132,-0.73,0.12,NA,NA,NA,NA,NA
1940,NA,NA,NA,BOS,Boston Bruins,TRUE,48,31,12,NA,5,67,0.698,170,98,1.29,-0.21,NA,NA,NA,NA,NA
1940,NA,NA,NA,NYR,New York Rangers,TRUE,48,27,11,NA,10,64,0.667,136,77,1.05,-0.18,NA,NA,NA,NA,NA
1940,NA,NA,NA,TOR,Toronto Maple Leafs,TRUE,48,25,17,NA,6,56,0.583,134,110,0.43,-0.07,NA,NA,NA,NA,NA
1940,NA,NA,NA,CBH,Chicago Black Hawks,TRUE,48,23,19,NA,6,52,0.542,112,120,-0.14,0.02,NA,NA,NA,NA,NA
1940,NA,NA,NA,DET,Detroit Red Wings,TRUE,48,16,26,NA,6,38,0.396,90,126,-0.64,0.11,NA,NA,NA,NA,NA
1940,NA,NA,NA,NYA,New York Americans,TRUE,48,15,29,NA,4,34,0.354,106,140,-0.61,0.1,NA,NA,NA,NA,NA
1940,NA,NA,NA,MTL,Montreal Canadiens,FALSE,48,10,33,NA,5,25,0.26,90,167,-1.38,0.23,NA,NA,NA,NA,NA
1941,NA,NA,NA,BOS,Boston Bruins,TRUE,48,27,8,NA,13,67,0.698,168,102,1.18,-0.2,NA,NA,NA,NA,NA
1941,NA,NA,NA,TOR,Toronto Maple Leafs,TRUE,48,28,14,NA,6,62,0.646,145,99,0.82,-0.14,NA,NA,NA,NA,NA
1941,NA,NA,NA,DET,Detroit Red Wings,TRUE,48,21,16,NA,11,53,0.552,112,102,0.18,-0.03,NA,NA,NA,NA,NA
1941,NA,NA,NA,NYR,New York Rangers,TRUE,48,21,19,NA,8,50,0.521,143,125,0.32,-0.05,NA,NA,NA,NA,NA
1941,NA,NA,NA,CBH,Chicago Black Hawks,TRUE,48,16,25,NA,7,39,0.406,112,139,-0.48,0.08,NA,NA,NA,NA,NA
1941,NA,NA,NA,MTL,Montreal Canadiens,TRUE,48,16,26,NA,6,38,0.396,121,147,-0.47,0.08,NA,NA,NA,NA,NA
1941,NA,NA,NA,NYA,New York Americans,FALSE,48,8,29,NA,11,27,0.281,99,186,-1.55,0.26,NA,NA,NA,NA,NA
